Title,Category,Price,Rating,Availability,Description,UPC,Number_of_Reviews,Product_URL
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Science,£55.91,One,In stock,"From Brian Greene, one of the world’s leading physicists and author the Pulitzer Prize finalist The Elegant Universe, comes a grand tour of the universe that makes us look at reality in a completely different way.Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Coul From Brian Greene, one of the world’s leading physicists and author the Pulitzer Prize finalist The Elegant Universe, comes a grand tour of the universe that makes us look at reality in a completely different way.Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Could the universe exist without space and time? Can we travel to the past? Greene has set himself a daunting task: to explain non-intuitive, mathematical concepts like String Theory, the Heisenberg Uncertainty Principle, and Inflationary Cosmology with analogies drawn from common experience. From Newton’s unchanging realm in which space and time are absolute, to Einstein’s fluid conception of spacetime, to quantum mechanics’ entangled arena where vastly distant objects can instantaneously coordinate their behavior, Greene takes us all, regardless of our scientific backgrounds, on an irresistible and revelatory journey to the new layers of reality that modern physics has discovered lying just beneath the surface of our everyday world. ...more",ca74f2e3c35a3e77,0,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html
The Flowers Lied,Default,£16.68,Two,In stock,"Remember back when you first wanted to become a rock critic? Or when you first started to read music reviews? Those are the days of The Flowers Lied, Michael Goldberg's new rock ‘n’ roll coming-of-age novel. Writerman, the narrator, is a rock critic wannabe obsessed with music – favorites include Captain Beefheart, the Blue Oyster Cult, the 13th Floor Elevators, John Coltr Remember back when you first wanted to become a rock critic? Or when you first started to read music reviews? Those are the days of The Flowers Lied, Michael Goldberg's new rock ‘n’ roll coming-of-age novel. Writerman, the narrator, is a rock critic wannabe obsessed with music – favorites include Captain Beefheart, the Blue Oyster Cult, the 13th Floor Elevators, John Coltrane, Pearls Before Swine, Slim Harpo, Neil Young, Sam Rivers and, of course, Bob Dylan. This novel is for anyone who grew up in the ‘60s or '70s—or anyone who wondered what it was really like to be a teenager back then.Witness Writerman fighting his record buying addition at Odyssey Records as store owner Lucky Larry guzzles Green Death and applies the “upsell,"" attending a Neil Young concert in 1973 and confronting Neil backstage, pursuing the Visions of Johanna chick of his dreams and ending up naked at the top of a Ferris wheel, alone with his best friend’s girl. ...more",33396269bcce166f,0,https://books.toscrape.com/catalogue/the-flowers-lied_573/index.html
The New Brand You: Your New Image Makes the Sale for You,Default,£44.05,Five,In stock,"You want people to recognize you, like you, and trust you, so they buy from you. You may have already branded yourself with this in mind but perhaps you’re not getting the desired results. Many people think that branding is about cool logos, fancy websites and social media popularity. But this line of thought causes potential successes to fail.So what does work? In The New You want people to recognize you, like you, and trust you, so they buy from you. You may have already branded yourself with this in mind but perhaps you’re not getting the desired results. Many people think that branding is about cool logos, fancy websites and social media popularity. But this line of thought causes potential successes to fail.So what does work? In The New Brand You, Julie Broad, MBA, bestselling author, popular speaker, and award winning entrepreneur, shares the secrets of creating a trusted brand.You’ll learn what is critical in reinventing your personal brand, and why you may never have to tweet, pin or post to do it. Did you know that …?• Your brand is first of all about the feelings, thoughts and experiences of your customers and clients.• There are at least 42 common communication mistakes that dilute your message, and only two things you have to do to have a brand with big impact.• Online, you are who Google says you are …The New Brand You is your detailed guidebook to successfully recreating your brand and attracting your ideal clients. ...more",4b50fb1359ebf35d,0,https://books.toscrape.com/catalogue/the-new-brand-you-your-new-image-makes-the-sale-for-you_575/index.html
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,£12.34,Four,In stock,"Among the most influential cookbooks of our time, the Moosewood Cookbook is such a powerful symbol that the publishers were tempted not to tamper with it. But times have changed, and knowledge about the foods we eat and their nutritional value has increased. So, after many inquiries and requests, the author has revised many of her recipes to be lighter and healthier. Illus Among the most influential cookbooks of our time, the Moosewood Cookbook is such a powerful symbol that the publishers were tempted not to tamper with it. But times have changed, and knowledge about the foods we eat and their nutritional value has increased. So, after many inquiries and requests, the author has revised many of her recipes to be lighter and healthier. Illustrated. ...more",65cfc9f242c2984a,0,https://books.toscrape.com/catalogue/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html
The Shack,Fiction,£28.03,One,In stock,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation, and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his ""Great Sadness,"" Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend.Against hi Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation, and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his ""Great Sadness,"" Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend.Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.In a world where religion seems to grow increasingly irrelevant The Shack wrestles with the timeless question, ""Where is God in a world so filled with unspeakable pain?"" The answers Mack gets will astound you and perhaps transform you as much as it did him. You'll want everyone you know to read this book!* book description from the back cover ...more",903a9f8090104c2c,0,https://books.toscrape.com/catalogue/the-shack_576/index.html
Underlying Notes,Default,£11.82,Two,In stock,"Carla Matteo copes with life by ""tipping the bottle""--glass goddesses funneling perfume! During a midlife renaissance, the ""juice"" enables Carla to find her own niche, while the ominous rose note in Paloma Picasso forces her to confront the past.",0967effecd292a86,0,https://books.toscrape.com/catalogue/underlying-notes_577/index.html
Unlimited Intuition Now,Default,£58.87,Four,In stock,"Read Unlimited Intuition Now to develop your own psychic abilities so that you can receive guidance from your soul.How you will benefit:Pray to open your soul guidanceLearn how to read the energy in your chakras with a pendulumTune in to read your own bodyDiscover how to read the body of another personDiscern how much life force is in your foodFocus to tell if food is real Read Unlimited Intuition Now to develop your own psychic abilities so that you can receive guidance from your soul.How you will benefit:Pray to open your soul guidanceLearn how to read the energy in your chakras with a pendulumTune in to read your own bodyDiscover how to read the body of another personDiscern how much life force is in your foodFocus to tell if food is really good for your bodyPractice how to muscle test yourselfRaise your vibration to listen to your angelsGet your ego out of the way so you can listen to divine guidanceStay connected with loved ones when you are apartOpen your psychic centers of clairaudience, claircognizance, clairsentience and clairvoyanceAvoid other people’s ego projections to see what’s really going onProtect your energy so you feel safe and grounded at all times and in all placesStay out of trouble in dangerous situationsUnderstand how your different psychic gifts actually workDeepen your connection to God and feel supported on all levels ...more",4fd0a2a350f016e6,0,https://books.toscrape.com/catalogue/unlimited-intuition-now_578/index.html
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Health,£49.71,Five,In stock,"The 10-Day Green Smoothie Cleanse will jump-start your weight loss, increase your energy level, clear your mind, and improve your overall health. Made up of supernutrients from leafy greens and fruits, green smoothies are filling and healthy and you will enjoy drinking them. Your body will also thank you for drinking them as your health and energy improve to levels you nev The 10-Day Green Smoothie Cleanse will jump-start your weight loss, increase your energy level, clear your mind, and improve your overall health. Made up of supernutrients from leafy greens and fruits, green smoothies are filling and healthy and you will enjoy drinking them. Your body will also thank you for drinking them as your health and energy improve to levels you never thought possible. In ten days, you can expect to lose weight, reduce cravings, clear your mind, and improve digestion. It is an experience that could change your life if you stick with it! This book provides a shopping list, recipes, and detailed instructions for the 10-day cleanse, along with suggestions for getting the best results. It also offers advice on how to continue to lose weight and maintain good health afterwards. Are you ready to look slimmer, healthier, and sexier than you have in years? Then get ready to begin the 10-Day Green Smoothie Cleanse! If you successfully complete the 10-Day Green Smoothie Cleanse, you will… - Lose 10‒15 pounds in 10 days - Get rid of stubborn body fat, including belly fat - Drop pounds and inches fast, without grueling workouts - Learn to live a healthier lifestyle of detoxing and healthy eating - Help your body naturally crave healthy foods so you never have to diet again - Receive over 100 green smoothie recipes for various health conditions and goals JJ Smith is the author of the #1 national bestseller and USA Today bestseller Lose Weight Without Dieting or Working Out! JJ Smith is a nutritionist and certified weight-loss expert who has been featured on The Steve Harvey Show, The Montel Williams Show, and The Jamie Foxx Show and on the NBC, FOX, and CW Network television stations, as well as in the pages of Glamour, Essence, and Ladies Home Journal. Since reclaiming her health, losing weight, and discovering a “second youth” in her forties, JJ has become the voice of inspiration to those who want to lose weight, be healthy, and get their sexy back! ...more",96aa539bfd4c07e2,0,https://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,£24.57,Two,In stock,"After having a nationally televised panic attack on Good Morning America, Dan Harris knew he had to make some changes. After learning about research that suggests meditation can do everything from lower your blood pressure to essentially rewire your brain, Harris took a deep dive into the underreported world of CEOs, scientists, and even marines who are now using it for in After having a nationally televised panic attack on Good Morning America, Dan Harris knew he had to make some changes. After learning about research that suggests meditation can do everything from lower your blood pressure to essentially rewire your brain, Harris took a deep dive into the underreported world of CEOs, scientists, and even marines who are now using it for increased calm, focus, and happiness. 10% Happier takes readers on a ride from the outer reaches of neuroscience to the inner sanctum of network news to the bizarre fringes of America's spiritual scene, and leaves them with a takeaway that could actually change their lives ...more",34669b2e9d407d3a,0,https://books.toscrape.com/catalogue/10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582/index.html
11/22/63,Fiction,£48.48,Three,In stock,"Life can turn on a dime—or stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in Lisbon Falls, Maine. While grading essays by his GED students, Jake reads a gruesome, enthralling piece penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his father’s sledgehammer slaughter of his entire family. Jake is blown away.. Life can turn on a dime—or stumble into the extraordinary, as it does for Jake Epping, a high school English teacher in Lisbon Falls, Maine. While grading essays by his GED students, Jake reads a gruesome, enthralling piece penned by janitor Harry Dunning: fifty years ago, Harry somehow survived his father’s sledgehammer slaughter of his entire family. Jake is blown away...but an even more bizarre secret comes to light when Jake’s friend Al, owner of the local diner, enlists Jake to take over the mission that has become his obsession—to prevent the Kennedy assassination. How? By stepping through a portal in the diner’s storeroom, and into the era of Ike and Elvis, of big American cars, sock hops, and cigarette smoke... Finding himself in warmhearted Jodie, Texas, Jake begins a new life. But all turns in the road lead to a troubled loner named Lee Harvey Oswald. The course of history is about to be rewritten...and become heart-stoppingly suspenseful. ...more",a9d7b75461084a26,0,https://books.toscrape.com/catalogue/112263_583/index.html
A Gentleman's Position (Society of Gentlemen #3),Romance,£14.75,Five,In stock,"Power, privilege, and the rigid rules of class leave two hearts yearning for connection in the sizzling new Society of Gentlemen novel from K. J. Charles. Among his eccentric though strictly principled group of friends, Lord Richard Vane is the confidant on whom everyone depends for advice, moral rectitude, and discreet assistance. Yet when Richard has a problem, he turns Power, privilege, and the rigid rules of class leave two hearts yearning for connection in the sizzling new Society of Gentlemen novel from K. J. Charles.  Among his eccentric though strictly principled group of friends, Lord Richard Vane is the confidant on whom everyone depends for advice, moral rectitude, and discreet assistance. Yet when Richard has a problem, he turns to his valet, a fixer of unparalleled genius—and the object of Richard’s deepest desires. If there is one rule a gentleman must follow, it is never to dally with servants. But when David is close enough to touch, the rules of class collide with the basest sort of animal instinct: overpowering lust.   For David Cyprian, burglary and blackmail are as much in a day’s work as bootblacking—anything for the man he’s devoted to. But the one thing he wants for himself is the one thing Richard refuses to give: his heart. With the tension between them growing to be unbearable, David’s seemingly incorruptible master has left him no choice. Putting his finely honed skills of seduction and manipulation to good use, he will convince Richard to forget all about his well-meaning objections and give in to sweet, sinful temptation.  Includes a special message from the editor, as well as an excerpt from another Loveswept title. ...more",40c4bf520c17de54,0,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,£19.53,Three,In stock,"On April 20, 1999, Eric Harris and Dylan Klebold walked into Columbine High School in Littleton, Colorado. Over the course of minutes, they would kill twelve students and a teacher and wound twenty-four others before taking their own lives.For the last sixteen years, Sue Klebold, Dylan’s mother, has lived with the indescribable grief and shame of that day. How could her ch On April 20, 1999, Eric Harris and Dylan Klebold walked into Columbine High School in Littleton, Colorado. Over the course of minutes, they would kill twelve students and a teacher and wound twenty-four others before taking their own lives. For the last sixteen years, Sue Klebold, Dylan’s mother, has lived with the indescribable grief and shame of that day. How could her child, the promising young man she had loved and raised, be responsible for such horror? And how, as his mother, had she not known something was wrong? Were there subtle signs she had missed? What, if anything, could she have done differently? These are questions that Klebold has grappled with every day since the Columbine tragedy. In A Mother’s Reckoning, she chronicles with unflinching honesty her journey as a mother trying to come to terms with the incomprehensible. In the hope that the insights and understanding she has gained may help other families recognize when a child is in distress, she tells her story in full, drawing upon her personal journals, the videos and writings that Dylan left behind, and on countless interviews with mental health experts. Filled with hard-won wisdom and compassion, A Mother’s Reckoning is a powerful and haunting book that sheds light on one of the most pressing issues of our time. And with fresh wounds from the recent Newtown and Charleston shootings, never has the need for understanding been more urgent. Author profits from the book will be donated to research and to charitable foundations focusing on mental health issues ...more",2b69dec0193511d9,0,https://books.toscrape.com/catalogue/a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585/index.html
Watchmen,Add a comment,£58.05,Four,In stock,"This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.One of the most influential graphic novels of all time and a perennial best-seller, Watchmen has been studied on college campuses across This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.One of the most influential graphic novels of all time and a perennial best-seller, Watchmen has been studied on college campuses across the nation and is considered a gateway title, leading readers to other graphic novels such as V for Vendetta, Batman: The Dark Knight Returns and The Sandman series. ...more",d1848064c54e01c7,0,https://books.toscrape.com/catalogue/watchmen_579/index.html
History of Beauty,Art,£10.29,Four,In stock,"Now in paperback, Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is Now in paperback, Umberto Eco’s groundbreaking and much-acclaimed first illustrated book has been a critical success since its first publication in 2004. What is beauty? Umberto Eco, among Italy’s finest and most important contemporary thinkers, explores the nature, the meaning, and the very history of the idea of beauty in Western culture. The profound and subtle text is lavishly illustrated with abundant examples of sublime painting and sculpture and lengthy quotations from writers and philosophers. This is the first paperback edition of History of Beauty, making this intellectual and philosophical journey with one of the world’s most acclaimed thinkers available in a more compact and affordable format.From the Trade Paperback edition ...more",8a150fd8ff5d7686,0,https://books.toscrape.com/catalogue/history-of-beauty_521/index.html
Without Shame,Add a comment,£48.27,Five,In stock,"East Pakistan, 1968: In Sariyah’s village, shame is a virtue she never mastered. As a child, she learned to read in secret, kept talismans against her father’s orders, and questioned everything, even Allah. Now she is practicing how to be a “woman with shame,” torn between promises to her family and to herself. She yearns to join a movement with her fellow Bengalis, who ar East Pakistan, 1968: In Sariyah’s village, shame is a virtue she never mastered. As a child, she learned to read in secret, kept talismans against her father’s orders, and questioned everything, even Allah. Now she is practicing how to be a “woman with shame,” torn between promises to her family and to herself. She yearns to join a movement with her fellow Bengalis, who are gripping onto their language and cultural identity against colonial powers – but she is continuously sucked into the narrow visions of her father.In the midst of a desperate movement for Bengali freedom, a presumptuous American has come to teach English. Rodney Creed - self-interested, naive, entitled - comes with the bright optimism of a college graduate, too eager to sense the rumbling ground beneath him...until he meets Sariyah. Rodney believes he is there to teach, but he will learn painful, irreversible things.Without Shame is a love story at its core – but not in the traditional sense. It’s about love of one’s country, culture, God, and language. It’s about the power of identity to shine through when other forces threaten to overshadow it. ...more",ab60e6f5a63e1cfb,0,https://books.toscrape.com/catalogue/without-shame_580/index.html
Hystopia: A Novel,Fiction,£21.96,Four,In stock,"By the early 1970s, President John F. Kennedy has survived several assassination attempts and--martyred, heroic--is now in his third term. Twenty-two-year-old Eugene Allen returns home from his tour of duty in Vietnam and begins to write a war novel--a book echoing Catch-22 and Slaughterhouse-Five--about veterans who have their battlefield experiences ""enfolded,"" wiped fro By the early 1970s, President John F. Kennedy has survived several assassination attempts and--martyred, heroic--is now in his third term. Twenty-two-year-old Eugene Allen returns home from his tour of duty in Vietnam and begins to write a war novel--a book echoing Catch-22 and Slaughterhouse-Five--about veterans who have their battlefield experiences ""enfolded,"" wiped from their memories through drugs and therapy. In Eugene's fictive universe, veterans too damaged to be enfolded stalk the American heartland, reenacting atrocities on civilians and evading the Psych Corps, a federal agency dedicated to upholding the mental hygiene of the nation by any means necessary.This alternative America, in which a veteran tries to reimagine a damaged world, is the subject of Hystopia, the long-awaited first novel by David Means. The critic James Wood has written that Means's language ""offers an exquisitely precise and sensuous register of an often crazy American reality."" Means brings this talent to bear on the national trauma of the Vietnam era in a work that is outlandish, ruefully funny, and shockingly violent. Written in conversation with some of the greatest war narratives from the Iliad to the Rolling Stones' ""Gimme Shelter,"" Hystopia is a unique and visionary novel. ...more",0bfdef63285d3019,0,https://books.toscrape.com/catalogue/hystopia-a-novel_523/index.html
Howl and Other Poems,Poetry,£40.45,Two,In stock,"The prophetic poem that launched a generation when it was first published in 1965 is here presented in a commemorative fortieth Anniversary Edition.When the book arrived from its British printers, it was seized almost immediately by U.S. Customs, and shortly thereafter the San Francisco police arrested its publisher and editor, Lawrence Ferlinghetti, together with City Lig The prophetic poem that launched a generation when it was first published in 1965 is here presented in a commemorative fortieth Anniversary Edition.When the book arrived from its British printers, it was seized almost immediately by U.S. Customs, and shortly thereafter the San Francisco police arrested its publisher and editor, Lawrence Ferlinghetti, together with City Lights Bookstore manager Shigeyoshi Murao. The two of them were charged with disseminating obscene literature, and the case went to trial in the municipal court of Judge Clayton Horn. A parade of distinguished literary and academic witnesses persuaded the judge that the title poem was indeed not obscene and that it had “redeeming social significance.”Thus was Howl & Other Poems freed to become the single most influential poetic work of the post-World War II era, with over 900,000 copies now in print."" ...more",b7870fa6dc088fbb,0,https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html
I Will Find You,Nonfiction,£44.21,One,In stock,"“This is it. My rape. I knew it was coming. Every woman knows. And now here it is. My turn.” When Joanna Connors was thirty years old on assignment for the Cleveland Plain Dealer to review a play at a college theater, she was held at knife point and raped by a stranger who had grown up five miles away from her. Once her assailant was caught and sentenced, Joanna never spo “This is it. My rape. I knew it was coming. Every woman knows. And now here it is. My turn.” When Joanna Connors was thirty years old on assignment for the Cleveland Plain Dealer to review a play at a college theater, she was held at knife point and raped by a stranger who had grown up five miles away from her. Once her assailant was caught and sentenced, Joanna never spoke of the trauma again, until 21 years later when her daughter was about to go to college. She resolved then to tell her children about her own rape so they could learn and protect themselves, and she began to realize that the man who assaulted her was one of the formative people in her life.Setting out to uncover the story of her attacker, Connors embarked on a journey to find out who he was, where he came from, who his friends were and what his life was like. What she discovers stretches beyond one violent man’s story and back into her own, interweaving a narrative about strength and survival with one about rape culture and violence in America.I Will Find You is a brave, timely consideration of race, class, education and the families that shape who we become, by a reporter and a survivor. ...more",bbf1ea50be8008ab,0,https://books.toscrape.com/catalogue/i-will-find-you_524/index.html
I'll Give You the Sun,Default,£56.48,One,In stock,"A brilliant, luminous story of first love, family, loss, and betrayal for fans of John Green, David Levithan, and Rainbow Rowell Jude and her twin brother, Noah, are incredibly close. At thirteen, isolated Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude cliff-dives and wears red-red lipstick and does the talking for bo A brilliant, luminous story of first love, family, loss, and betrayal for fans of John Green, David Levithan, and Rainbow Rowell Jude and her twin brother, Noah, are incredibly close. At thirteen, isolated Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude cliff-dives and wears red-red lipstick and does the talking for both of them. But three years later, Jude and Noah are barely speaking. Something has happened to wreck the twins in different and dramatic ways . . . until Jude meets a cocky, broken, beautiful boy, as well as someone else—an even more unpredictable new force in her life. The early years are Noah's story to tell. The later years are Jude's. What the twins don't realize is that they each have only half the story, and if they could just find their way back to one another, they’d have a chance to remake their world. This radiant novel from the acclaimed, award-winning author of The Sky Is Everywhere will leave you breathless and teary and laughing—often all at once. ...more",0ab4b35dcffcffd1,0,https://books.toscrape.com/catalogue/ill-give-you-the-sun_525/index.html
John Vassos: Industrial Design for Modern Life,Default,£20.22,Four,In stock,"What should a television look like? How should a dial on a radio feel to the touch? These were questions John Vassos asked when the Radio Corporation of America (RCA) asked him to design the first mass-produced television receiver, the TRK-12, which had its spectacular premier at the 1939 New York World’s Fair. Vassos emigrated from Greece and arrived in the United States What should a television look like? How should a dial on a radio feel to the touch? These were questions John Vassos asked when the Radio Corporation of America (RCA) asked him to design the first mass-produced television receiver, the TRK-12, which had its spectacular premier at the 1939 New York World’s Fair. Vassos emigrated from Greece and arrived in the United States in 1918. His career spans the evolution of central forms of mass media in the twentieth century and offers a template for understanding their success. This is Vassos’s legacy—shaping the way we interact with our media technologies. Other industrial designers may be more celebrated, but none were more focused on making radio and television attractive and accessible to millions of Americans.In John Vassos: Industrial Design for Modern Life, Danielle Shapiro is the first to examine the life and work of RCA’s key consultant designer through the rise of radio and television and into the computer era. Vassos conceived a vision for the look of new technologies still with us today. A founder of the Industrial Designers Society of America, he was instrumental in the development of a self-conscious industrial design profession during the late 1920s and 1930s and into the postwar period. Drawing on unpublished records and correspondence, Shapiro creates a portrait of a designer whose early artistic work in books like Phobia and Contempo critiqued the commercialization of modern life but whose later design work sought to accommodate it.Replete with rich behind-the-product stories of America’s design culture in the 1930s through the 1950s, this volume also chronicles the emergence of what was to become the nation’s largest media company and provides a fascinating glimpse into its early corporate culture. In our current era of watching TV on an iPod or a smartphone, Shapiro stimulates broad discussions of the meaning of technological design for mass media in daily life. ...more",bd26e8a79a856c31,0,https://books.toscrape.com/catalogue/john-vassos-industrial-design-for-modern-life_526/index.html
Kierkegaard: A Christian Missionary to Christians,Philosophy,£47.13,One,In stock,"Soren Kierkegaard (1813-1855) had a mission. The church had become weak, flabby and inconsequential. Being a Christian was more a cultural heritage than a spiritual reality. His mission reintroduce the Christian faith to Christians. How could he break through to people who were members of the church and thought they were Christians already? Like an Old Testament prophet, K Soren Kierkegaard (1813-1855) had a mission. The church had become weak, flabby and inconsequential. Being a Christian was more a cultural heritage than a spiritual reality. His mission reintroduce the Christian faith to Christians. How could he break through to people who were members of the church and thought they were Christians already? Like an Old Testament prophet, Kierkegaard used a variety of pointed and dramatic ways to shake people from their slumber. He incisively diagnosed the spiritual ailments of his age and offered a fresh take on classic Christian teaching. Mark Tietjen thinks that Kierkegaard's critique of his contemporaries strikes close to home today. We also need to listen to one of the most insightful yet complex Christian thinkers of any era. Through an examination of core Christian doctrines the person of Jesus Christ, human nature, Christian witness and love Tietjen helps us hear Kierkegaard's missionary message to a church that often fails to follow Christ with purity of heart."" ...more",0cf57cb49272fd37,0,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
Left Behind (Left Behind #1),Default,£40.72,Two,In stock,"An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun",29af1a2566c4e36e,0,https://books.toscrape.com/catalogue/left-behind-left-behind-1_529/index.html
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,£45.05,Five,In stock,"National Book Award winner James McBride goes in search of the “real” James Brown after receiving a tip that promises to uncover the man behind the myth. His surprising journey illuminates not only our understanding of this immensely troubled, misunderstood, and complicated soul genius but the ways in which our cultural heritage has been shaped by Brown’s legacy. Kill ’Em National Book Award winner James McBride goes in search of the “real” James Brown after receiving a tip that promises to uncover the man behind the myth. His surprising journey illuminates not only our understanding of this immensely troubled, misunderstood, and complicated soul genius but the ways in which our cultural heritage has been shaped by Brown’s legacy.  Kill ’Em and Leave is more than a book about James Brown. Brown’s rough-and-tumble life, through McBride’s lens, is an unsettling metaphor for American life: the tension between North and South, black and white, rich and poor. McBride’s travels take him to forgotten corners of Brown’s never-before-revealed history: the country town where Brown’s family and thousands of others were displaced by America’s largest nuclear power bomb-making facility; a South Carolina field where a long-forgotten cousin recounts, in the dead of night, a fuller history of Brown’s sharecropping childhood, which until now has been a mystery. McBride seeks out the American expatriate in England who co-created the James Brown sound, visits the trusted right-hand manager who worked with Brown for forty-one years, and interviews Brown’s most influential nonmusical creation, his “adopted son,” the Reverend Al Sharpton. He describes the stirring visit of Michael Jackson to the Augusta, Georgia, funeral home where the King of Pop sat up all night with the body of his musical godfather, spends hours talking with Brown’s first wife, and lays bare the Dickensian legal contest over James Brown’s estate, a fight that has consumed careers; prevented any money from reaching the poor schoolchildren in Georgia and South Carolina, as instructed in his will; cost Brown’s estate millions in legal fees; and left James Brown’s body to lie for more than eight years in a gilded coffin in his daughter’s yard in South Carolina.   James McBride is one of the most distinctive and electric literary voices in America today, and part of the pleasure of his narrative is being in his presence, coming to understand Brown through McBride’s own insights as a black musician with Southern roots. Kill ’Em and Leave is a song unearthing and celebrating James Brown’s great legacy: the cultural landscape of America today.Praise for Kill ’Em and Leave “The definitive look at one of the greatest, most important entertainers, The Godfather, Da Number One Soul Brother, Mr. Please, Please Himself—JAMES BROWN.”—Spike Lee “Please, please, please: Can anybody tell us who and what was James Brown? At last, the real deal: James McBride on James Brown is the matchup we’ve been waiting for, a musician who came up hard in Brooklyn with JB hooks lodged in his brain, a monster ear for the truth, and the chops to write it. This is no celeb bio but a compelling personal quest—so very timely, angry, hilarious, and as irresistible as any James Brown beat.”—Gerri Hirshey, author of Nowhere to Run: The Story of Soul Music “An unconventional and fascinating portrait of Soul Brother No. 1 and the significance of his rise and fall in American culture.” —Kirkus Reviews ...more",39eefec3a8498dde,0,https://books.toscrape.com/catalogue/kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html
Les Fleurs du Mal,Poetry,£29.04,Five,In stock,Presents the first American translation of the complete text of Baudelaire's 1857 masterwork and includes the complete original French texts for easy comparison.,c44c5e1425475206,0,https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,£12.55,Three,In stock,"Each of us has but one life to live on this earth. What we do with it is our choice. Are we drifting through it as spectators, reacting to our circumstances when necessary and wondering just how we got to this point anyway? Or are we directing it, maximizing the joy and potential of every day, living with a purpose or mission in mind? Too many of us are doing the former--a Each of us has but one life to live on this earth. What we do with it is our choice. Are we drifting through it as spectators, reacting to our circumstances when necessary and wondering just how we got to this point anyway? Or are we directing it, maximizing the joy and potential of every day, living with a purpose or mission in mind? Too many of us are doing the former--and our lives are slipping away one day at a time. But what if we treated life like the gift that it is? What if we lived each day as though it were part of a bigger picture, a ""plan""? That's what ""New York Times ""bestselling author Michael Hyatt and executive coach Daniel Harkavy show us how to do: to design a life with the end in mind, determining in advance the outcomes we desire and path to get there. In this step-by-step guide, they share proven principles that help readers create a simple but effective life plan so that they can get from where they are now to where they really want to be--in every area of life. ...more",044534b0b28b4e87,0,https://books.toscrape.com/catalogue/living-forward-a-proven-plan-to-stop-drifting-and-get-the-life-you-want_531/index.html
